slug,dob,birthplace,pcs_ranking,grand_tours,classics
dries-de-bondt,4thJuly 1991,Bornem,1504,3,14
finlay-pickering,27thJanuary 2003,Cottingham,,1,
amaury-capiot,25thJune 1993,Tongeren,2065,3,8
davide-de-pretto,19thApril 2002,Thiene,,1,4
alessandro-covi,28thSeptember 1998,Borgomanero,1908,3,9
jasha-sutterlin,4thNovember 1992,Freiburg im Breisgau,,11,31
dries-de-pooter,8thNovember 2002,Geel,,2,6
christopher-juul-jensen,6thJuly 1989,Kilmacanogue,,17,25
kelland-brien,22ndMay 1998,Melbourne,,2,9
luka-mezgec,27thJune 1988,Kranj,799,16,22
patrick-gamper,18thFebruary 1997,Hall in Tirol,,6,7
koen-bouwman,2ndDecember 1993,Ulft,2039,12,12
asbjorn-hellemose,15thJanuary 1999,Galten,,,3
luke-durbridge,9thApril 1991,Greenmount,906,16,29
jelte-krijnsen,12thMay 2001,Bolsward,,,2
rudy-porter,15thDecember 2000,Sydney,,,
hamish-mckenzie,13thSeptember 2004,Launceston,,,1
filippo-conca,22ndSeptember 1998,Lecco,,1,2
paul-magnier,14thApril 2004,Laredo,596,2,3
tim-merlier,30thOctober 1992,Wortegem-Petegem,133,5,8
jasper-stuyven,17thApril 1992,Leuven,471,14,32
filippo-zana,18thMarch 1999,Thiene,1572,9,11
ilan-van-wilder,14thMay 2000,Jette,1689,5,6
junior-lecerf,15thOctober 2002,Halle,,2,3
valentin-paret-peintre,14thJanuary 2001,Annemasse,,5,1
andrea-raccagni-noviero,26thJanuary 2004,Genua,,1,1
gianmarco-garofoli,6thOctober 2002,Ancona,,4,3
mauri-vansevenant,1stJune 1999,Ostend,2128,5,9
alberto-dainese,25thMarch 1998,Abano Terme,1699,7,2
laurenz-rex,15thDecember 1999,Marburg,,3,9
pascal-eenkhoorn,8thFebruary 1997,Zwolle,,3,10
mikel-landa,13thDecember 1989,Murgia,298,24,19
ethan-hayter,18thSeptember 1998,London,689,2,5
dylan-van-baarle,21stMay 1992,Voorburg,702,17,29
louis-vervaeke,6thOctober 1993,Ronse,,11,16
maximilian-schachmann,9thJanuary 1994,Berlin,583,8,13
dries-van-gestel,30thSeptember 1994,Turnhout,,2,15
pepijn-reinderink,4thMay 2002,Almelo,,1,4
casper-pedersen,15thMarch 1996,Copenhagen,,6,13
steff-cras,13thFebruary 1996,Geel,,8,5
fabio-van-den-bossche,21stSeptember 2000,Ghent,,3,5
yves-lampaert,10thApril 1991,Izegem,406,7,25
martin-svrcek,17thFebruary 2003,Nesluša,,,1
jonathan-vervenne,27thMay 2003,Genk,,,2
bert-van-lerberghe,29thSeptember 1992,Kortrijk,,4,20
gil-gelders,16thDecember 2002,Asse,,,3
ayco-bastiaens,3rdJune 1996,Aalst,,1,2
warre-vangheluwe,23rdJuly 2001,Tielt,,,1
remco-evenepoel,25thJanuary 2000,Aalst,33,6,10
florian-lipowitz,21stSeptember 2000,Laichingen,962,3,1
giulio-pellizzari,21stNovember 2003,San Severino Marche,1752,4,4
jordi-meeus,1stJuly 1998,Lommel,572,3,9
jai-hindley,5thMay 1996,Perth,627,11,10
primoz-roglic,29thOctober 1989,Trbovlje,21,17,11
laurence-pithie,17thJuly 2002,Christchurch,1315,2,9
aleksandr-vlasov,23rdApril 1996,Vyborg,486,11,11
danny-van-poppel,26thJuly 1993,Moergestel,466,12,20
luke-tuckwell,21stJune 2004,Orange,,,
daniel-felipe-martinez,25thApril 1996,Soacha,508,12,14
gianni-vermeersch,19thNovember 1992,Roeselare,1728,4,17
arne-marit,21stJanuary 1999,Galmaarden,,3,4
tim-van-dijke,15thMarch 2000,Goes,,2,9
maxim-van-gils,25thNovember 1999,Brasschaat,1174,4,10
haimar-etxeberria,8thSeptember 2003,Irún,,,1
finn-fisher-black,21stDecember 2001,Benenden,,2,4
mick-van-dijke,15thMarch 2000,Goes,,2,9
giovanni-aleotti,25thMay 1999,Mirandola,2042,8,9
ben-zwiehoff,22ndFebruary 1994,Essen,,5,
nico-denz,15thFebruary 1994,Waldshut-Tiengen,2061,14,16
